,Patient,Model,Dipole,Dist_mm,Angle_deg,Residual_Variance,Is_Grid,Grid_eq_Source,Total_AMR_steps
0,131722,swiss7,dip2,3.51957430816013,6.43989865227208,0.0003722549420067,1,1,3
1,131722,german7,dip2,3.6928413771788,11.3023930640529,0.000448552867368,0,1,4
2,131722,SimNIBS7_headreco,dip4,9.74459321011692,29.226863477733,0.0035136499695567,0,1,9
3,131722,german7,dip1,4.56174878045114,14.9281071802767,0.0009093885648971,0,0,2
4,131722,SimNIBS7_headreco,dip1,3.11308779814507,7.19693951292305,0.0018524083893147,1,1,8
5,131722,german7_headreco,dip2,4.81326728060841,12.8191779011827,0.0015612282915828,0,1,5
6,131722,SimNIBS7,dip4,8.18867713886103,34.4007558882277,0.0033609447134217,1,1,8
7,131722,SimNIBS7_headreco,dip2,4.66366354239988,12.444663672544,0.0014095818795449,0,1,5
8,131722,german7,dip3,1.67660196802884,22.2514266908355,0.0007543255472066,1,1,3
9,131722,swiss7_headreco,dip1,2.30275785205235,2.09516135710979,0.0002584487714045,0,1,4
10,131722,SimNIBS7,dip3,1.69034207576437,21.9079276748411,0.0007348538848298,1,1,4
11,131722,swiss7_headreco,dip4,4.04259309167505,12.629962347484,0.002330928925758,1,1,8
12,131722,SimNIBS7,dip2,3.76332107585024,11.1961898119652,0.0004242212924803,0,1,5
13,131722,german7,dip4,8.12817032656904,35.4970772198437,0.0032470549247241,0,1,8
14,131722,german7_headreco,dip3,1.22865111705377,19.2760977549612,0.0010719759889018,0,1,3
15,131722,SimNIBS7_headreco,dip3,1.38424829689442,19.2140234962747,0.0008714356431305,0,1,3
16,131722,german7_headreco,dip4,9.09178798694529,26.9073211026117,0.00300714927593,0,1,20
17,131722,swiss7,dip1,3.03217576361804,9.16561746709674,0.0006116715315166,0,1,2
18,131722,swiss7_headreco,dip2,3.44331464883623,5.28445141464472,0.0009012731406891,1,1,4
19,131722,swiss7,dip4,4.20194919504039,45.6860179943944,0.0024023765317127,0,1,9
20,131722,SimNIBS7,dip1,3.57460446860331,7.27949166901158,0.0008897395802427,0,1,2
21,131722,swiss7_headreco,dip3,1.07987710263318,10.805900258079,0.0007465385866021,1,1,3
22,131722,german7_headreco,dip1,3.1488504715017,7.87752836522765,0.0018176067147268,1,1,7
23,131722,swiss7,dip3,1.15925176276297,10.6525552560845,0.0009660812891123,1,1,3
24,160123,SimNIBS7_headreco,dip2,4.96222005225749,25.9275692819557,0.002266307198254,1,1,3
25,160123,german7_headreco,dip1,5.132586438107,5.63285584019784,0.0006812306872199,0,1,11
26,160123,german7,dip1,6.42383187321607,15.851378502089,0.0208736773921167,1,1,30
27,160123,swiss7,dip1,4.8625582901193,6.96173339356188,0.0005382533103463,1,1,13
28,160123,swiss7_headreco,dip1,4.97606639204988,3.83441022170816,0.0005454415244585,0,1,5
29,160123,german7_headreco,dip3,2.35579912088996,10.4533169544138,0.0005506019973459,1,1,7
30,160123,SimNIBS7_headreco,dip4,3.6742234889947,12.3995703769495,0.0029517021109047,0,1,6
31,160123,SimNIBS7,dip1,6.35985535565996,16.9530703595342,0.0212095769025541,1,1,30
32,160123,SimNIBS7,dip3,3.52348343107148,18.6842867525822,0.000439145748842,1,1,4
33,160123,SimNIBS7_headreco,dip1,5.01741746310348,5.14914842465369,0.0009359351706654,1,1,6
34,160123,swiss7,dip2,3.17306466399952,13.862590470899,0.0008551746634127,1,1,6
35,160123,swiss7_headreco,dip2,2.37509894094292,14.6199814884414,0.0018837191477171,1,1,2
36,160123,german7,dip3,3.45054019462029,18.7830984866357,0.0004231657362244,1,1,3
37,160123,german7,dip4,6.38039771839374,23.3398490362935,0.003276944332545,1,1,18
38,160123,swiss7_headreco,dip3,1.47374672399923,3.58236343298519,0.0004366781628641,0,1,6
39,160123,swiss7,dip4,4.66624182717713,12.8165132143678,0.0014001039576966,1,1,8
40,160123,german7_headreco,dip4,5.29841137987396,175.3176356245,0.0029487745687063,1,1,6
41,160123,SimNIBS7,dip2,5.3546550020065,24.5474154959409,0.001142015211732,1,1,7
42,160123,SimNIBS7_headreco,dip3,2.63495946178063,11.0618554423671,0.0005758236622398,1,1,9
43,160123,german7,dip2,5.35907529829554,24.9404887557038,0.0012519989174841,0,1,7
44,160123,swiss7,dip3,1.4835342067926,11.1609122112521,0.0005058407314374,0,1,3
45,160123,SimNIBS7,dip4,6.25151318146222,154.37897729416,0.0044470113492152,0,1,10
46,160123,german7_headreco,dip2,6.33105635549158,27.5460144933607,0.0025127278255663,1,1,3
47,160123,swiss7_headreco,dip4,2.93780583333967,176.735790912385,0.0019947699327407,1,1,6
48,120111,swiss7,dip1,2.80714083548963,5.26216225715833,0.000334047565344,0,1,4
49,120111,german7,dip4,3.41529401507521,45.2032840617901,0.0030145557492104,1,1,6
50,120111,swiss7,dip4,1.83144278121784,16.2181573336595,0.0011224500649185,1,1,6
51,120111,swiss7_headreco,dip3,2.18707151593039,22.0560040528675,0.0008193674429839,0,1,3
52,120111,SimNIBS7_headreco,dip3,4.62382793943491,21.4996562258757,0.0024091682093581,1,1,5
53,120111,SimNIBS7_headreco,dip1,2.77159330605496,14.1938848510357,0.0007351934163474,0,1,5
54,120111,german7_headreco,dip3,4.18488503179227,21.993946422307,0.0022662048292862,0,1,4
55,120111,german7,dip2,4.88430641613716,13.4525445843796,0.0003175795857434,0,1,6
56,120111,swiss7,dip3,1.77884311994058,4.19626737363076,0.0012095913067131,1,1,4
57,120111,SimNIBS7_headreco,dip2,5.10369387769033,1.59684594985105,0.0015138285756321,1,1,7
