Patient,Model,Dipole,Dist_mm,Angle_deg,Residual_Variance,Is_Grid,Grid_eq_Source,Total_AMR_steps
110411,swiss3,dip1,0.826463391669216,0.64497395795713,7.83898256588828e-05,0,1,2
110411,swiss3,dip2,1.51053749017119,0.762440270433145,0.0003521023971191,0,1,2
110411,swiss3,dip3,0.470293683708832,0.0753677959379261,2.15743593404047e-05,0,1,2
110411,swiss3,dip4,0.271383309450027,0.101032096225599,5.52784316937003e-06,1,1,2
110411,german3,dip1,1.14350339039279,0.611808427283608,0.0001293175393025,1,1,3
110411,german3,dip2,2.84939866454919,1.67751227168717,0.0005766489970895,0,1,3
110411,german3,dip3,0.445648405771196,0.302113909791678,2.35914439528992e-05,0,1,2
110411,german3,dip4,0.651497806226314,0.352758170160133,1.87334385724772e-05,1,1,2
110411,SimNIBS3,dip1,1.13482722669981,0.588864420520381,0.0001320774744778,0,1,3
110411,SimNIBS3,dip2,2.92754382945443,1.75987276273732,0.0005897453365443,1,1,3
110411,SimNIBS3,dip3,0.415349561032746,0.33396383019797,2.50093310710456e-05,0,1,2
110411,SimNIBS3,dip4,0.675807239676606,0.379265079196033,2.09354994079052e-05,1,1,2
117122,swiss3,dip1,0.775376920518433,0.148957224406934,3.05813166617685e-05,1,1,2
117122,swiss3,dip2,1.66968695624098,3.06908205081488,0.0005097407409876,1,1,2
117122,swiss3,dip3,0.506335986573634,0.215059878840513,2.43680381098464e-05,1,1,4
117122,swiss3,dip4,0.175528713744778,0.142152485533303,3.19800261689771e-06,1,1,2
117122,german3,dip1,1.17915734145251,0.782832096698851,6.06911899074061e-05,1,1,2
117122,german3,dip2,2.98875567627214,5.93586873404627,0.0004504034083892,0,1,3
117122,german3,dip3,0.416411176384347,0.881936633732028,3.81630720938266e-05,1,1,4
117122,german3,dip4,0.33131895641949,1.24283104639205,1.5454352110874e-05,1,1,2
117122,SimNIBS3,dip1,1.19828000680303,0.84831850126553,6.27242144745135e-05,1,1,2
117122,SimNIBS3,dip2,3.04472722318275,6.04104627729707,0.0004235810023534,0,1,3
117122,SimNIBS3,dip3,0.388117903259764,0.945608613115281,3.96514671987101e-05,1,1,4
117122,SimNIBS3,dip4,0.450397771813263,1.45969254739303,1.82890172633813e-05,0,1,2
120111,swiss3,dip1,0.828631010609748,0.61022990041908,3.03907714563789e-05,1,1,2
120111,swiss3,dip2,1.50914406971133,0.260721611898299,0.0005463155502667,1,1,2
120111,swiss3,dip3,0.368894847458307,0.126466240218411,1.14808568394238e-05,1,1,2
120111,swiss3,dip4,0.147287828063592,0.0707805644860611,6.17554163915135e-06,1,1,2
120111,german3,dip1,1.12787914176587,1.1134337252181,6.84536229570634e-05,0,1,3
120111,german3,dip2,2.34979215478286,0.618693135246176,0.0007221736911976,1,1,3
120111,german3,dip3,0.187649994325098,0.183579373472245,1.52245693364531e-05,1,0,2
120111,german3,dip4,0.460541407003769,0.347036900150075,2.43294181498927e-05,0,1,2
120111,SimNIBS3,dip1,1.11735614874752,1.14852412715751,7.14555974810863e-05,0,1,3
120111,SimNIBS3,dip2,2.41557496559428,0.705977104010503,0.0007064580699024,1,1,4
120111,SimNIBS3,dip3,0.18030692762087,0.194760109127201,1.58095225130319e-05,1,1,2
120111,SimNIBS3,dip4,0.562811046158287,0.398876840368901,2.72205223148408e-05,1,1,3
122317,swiss3,dip1,0.726872020999581,0.282951709981118,2.81723831748693e-05,1,1,2
122317,swiss3,dip2,2.00680011244034,0.687960838844933,0.0003470308353815,0,1,2
122317,swiss3,dip3,0.44337148163374,0.124800483221072,1.29822153942387e-05,0,1,2
122317,swiss3,dip4,0.241630141543767,0.0986758411791336,3.41476279497021e-06,0,1,2
122317,german3,dip1,0.944985576608317,0.660450181008197,5.64784347353474e-05,1,1,2
122317,german3,dip2,3.07799627414987,1.01975845440206,0.0002455824165653,1,1,4
122317,german3,dip3,0.460175479217008,0.964450620445258,1.9346073369858e-05,1,1,2
122317,german3,dip4,0.456952965107245,0.42062898722233,1.16742037529343e-05,0,1,2
122317,SimNIBS3,dip1,0.936098426680834,0.697923706188875,5.73378458790984e-05,0,1,2
122317,SimNIBS3,dip2,3.15970690283314,1.0198221251236,0.0002581267779096,1,1,4
122317,SimNIBS3,dip3,0.415733662625767,1.0542105621734,2.05683779630842e-05,0,1,3
122317,SimNIBS3,dip4,0.441869175627584,0.516358161329908,1.38245521047114e-05,1,1,2
122620,swiss3,dip1,0.780776099220611,0.344953222091263,3.84294911794688e-05,1,1,2
122620,swiss3,dip2,1.17815020778434,1.08504211377953,0.0004201598623513,1,1,2
122620,swiss3,dip3,0.241994861786069,0.12156885539068,5.78348369712048e-06,1,1,2
122620,swiss3,dip4,0.209467364318927,0.158728059846091,4.05672133910703e-06,0,1,2
122620,german3,dip1,1.0955210933781,0.221743546555907,6.40988877602743e-05,0,1,2
122620,german3,dip2,2.48858285057004,1.05254127883746,0.0003829847102425,1,1,4
122620,german3,dip3,0.222592042447905,0.805402945895154,9.78493311538198e-06,0,1,2
122620,german3,dip4,0.372522316253908,0.395693117348444,1.74121801208032e-05,0,1,4
122620,SimNIBS3,dip1,1.09712007343663,0.237502660552425,6.53814643588897e-05,1,1,2
122620,SimNIBS3,dip2,2.55894303949825,1.05600443746524,0.0003734050830711,1,1,4
122620,SimNIBS3,dip3,0.242483350817063,0.881637129514109,1.03904375294317e-05,1,1,2
122620,SimNIBS3,dip4,0.453434236447955,0.427009817260765,1.94650012310746e-05,0,1,4
124422,swiss3,dip1,1.12805928585496,0.0673366672987845,5.79722062687376e-05,1,1,2
124422,swiss3,dip2,1.42883429460625,0.840780205987046,7.58331446260235e-05,0,1,3
124422,swiss3,dip3,0.558973842285801,0.434480972843794,2.89939740736246e-05,1,1,3
124422,swiss3,dip4,0.288267276639947,0.202048903230931,5.10987877469448e-06,0,1,2
124422,german3,dip1,1.72085890985258,0.391024120058212,8.10342227235986e-05,0,1,2
124422,german3,dip2,2.10888250712835,5.39357478152111,0.0015772763428329,0,0,4
124422,german3,dip3,0.76122449153308,1.29489628212267,3.18733609065365e-05,1,1,4
124422,german3,dip4,0.567155102600006,0.419560170605734,1.01862750607661e-05,0,0,4
124422,SimNIBS3,dip1,1.73346352573848,0.433130961802811,8.2978122762659e-05,1,1,2
124422,SimNIBS3,dip2,2.76719517397027,1.26891170040431,0.00019722392527,0,1,4
124422,SimNIBS3,dip3,0.76096017876403,1.37224837627124,3.19522937435473e-05,1,1,4
124422,SimNIBS3,dip4,0.570725303402835,0.439765654975567,1.16832702573273e-05,0,1,4
128632,swiss3,dip1,0.916798009389571,0.186047568152131,3.35580061538636e-05,0,1,2
128632,swiss3,dip2,2.06053328734976,1.30045878640457,8.59987465267861e-05,1,1,2
128632,swiss3,dip3,0.240340107586917,0.0443687545481761,8.90495233688516e-06,0,1,2
128632,swiss3,dip4,0.245024118692118,0.133335895462876,2.93968892466896e-06,0,1,4
128632,german3,dip1,1.22939778509633,0.784445254055537,5.1184287842318e-05,1,1,3
128632,german3,dip2,3.01973280964686,1.39063654080926,0.0001297791915224,0,1,3
128632,german3,dip3,0.0580214490359841,0.448124990458476,1.54349481175159e-05,1,1,2
128632,german3,dip4,0.470259324759726,0.791030361883433,5.91731642606311e-06,1,1,4
128632,SimNIBS3,dip1,1.22485232460238,0.850032085162012,5.16424487304792e-05,1,1,3
128632,SimNIBS3,dip2,3.05925715941758,1.37505968894735,0.0001318008393444,1,1,3
128632,SimNIBS3,dip3,0.0709280972704667,0.49628899888958,1.62410490718934e-05,0,1,2
128632,SimNIBS3,dip4,0.478588054711346,0.87579016154861,6.40736337488343e-06,1,1,4
130013,swiss3,dip1,0.808295769354129,0.340074784658772,2.20802563248541e-05,1,1,2
130013,swiss3,dip2,1.50244717212925,0.389006133352149,0.0001960891590284,1,1,2
130013,swiss3,dip3,0.265834163421576,0.276862839256345,4.59395564606993e-06,1,1,3
130013,swiss3,dip4,0.218494768965687,0.123526084568883,1.98561877120424e-06,0,1,3
130013,german3,dip1,1.13590631882884,0.825548102732398,5.08321707906614e-05,1,1,3
130013,german3,dip2,2.71715396928796,0.293528479278057,0.000124941031511,0,1,4
130013,german3,dip3,0.285795868435628,1.17805689626934,7.66929049750605e-06,1,1,3
130013,german3,dip4,0.293631252161682,0.356014933374924,7.35997217535981e-06,1,1,2
